Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Modus_Operandi_num_code,Time_Difference_Log
12900 W  VENTURA                      BL,34.1451,-118.4137,9,998,2,2,F,H,505,400.0,AA,Crimes against Persons,17.0,2020,10,3,21,6,1,7.990576881743923
1100 S  PALOS VERDES                 ST,33.7342,-118.2814,5,566,1,70,M,H,502,400.0,AA,Property Crimes,13.0,2020,5,5,2,5,8,0.0
3400    WHITTIER                     BL,34.0276,-118.2005,4,478,1,0,M,W,203,0.0,IC,Property Crimes,12.5,2021,1,0,18,4,1,6.3578422665081
500    LOS LIONES                   DR,34.046,-118.5593,8,811,1,57,M,O,101,0.0,IC,Property Crimes,12.0,2020,6,2,17,2,3,0.0
GRANADA                      ST,34.0956,-118.2284,11,1177,2,22,M,H,101,0.0,IC,Property Crimes,14.666666666666666,2020,10,2,6,1,2,3.2188758248682006
CYPRESS                      AV,34.0976,-118.2316,11,1147,1,0,,,101,0.0,IC,Property Crimes,15.0,2020,9,0,28,0,1,0.0
4300    VENTURA CANYON               AV,34.1478,-118.4296,9,989,1,26,F,W,101,0.0,IC,Property Crimes,22.083333333333332,2020,5,3,15,4,2,4.976733742420574
1000 E  84TH                         PL,33.962,-118.2575,12,1269,1,31,M,H,501,400.0,IC,Property Crimes,2.0,2020,1,2,1,2,9,0.0
AVALON,33.7933,-118.2635,5,515,2,0,X,X,897,0.0,IC,Property Crimes,14.316666666666666,2020,3,3,26,3,3,0.0
5600    WILSHIRE                     BL,34.0633,-118.3473,7,735,1,38,F,B,203,500.0,IC,Crimes against Public Order,19.7,2020,10,3,29,3,4,0.0
9500 S  MAIN                         ST,33.9502,-118.2739,18,1822,1,23,F,H,502,301.0,AA,Violent Crimes,3.0,2020,3,5,14,5,5,0.0
9000    TOBIAS                       AV,34.2336,-118.4517,19,1974,2,22,F,H,502,0.0,IC,Fraud and White-Collar Crimes,13.0,2021,8,1,31,4,2,9.105090961257085
4700    KLAMATH                      ST,34.0802,-118.1848,4,427,1,21,F,H,109,0.0,AO,Property Crimes,19.0,2020,3,3,4,2,1,3.2188758248682006
400 N  ROSSMORE                     AV,34.078,-118.3273,7,719,1,37,F,W,502,0.0,IC,Property Crimes,12.5,2020,9,1,6,6,1,3.8918202981106265
1200 N  MANSFIELD                    AV,34.0926,-118.3405,6,663,1,36,M,H,502,500.0,IC,Property Crimes,3.5,2020,12,1,23,0,5,5.8888779583328805
1300    WILCOX                       AV,34.0944,-118.331,6,666,2,0,X,X,726,400.0,AA,Violent Crimes,0.8333333333333334,2020,1,1,7,1,3,0.0
100 E  76TH                         ST,33.9713,-118.2739,12,1258,2,45,F,B,501,0.0,AO,Property Crimes,14.25,2020,3,1,17,1,3,0.0
2100    ALSACE                       AV,34.0377,-118.3531,7,784,1,53,M,B,501,0.0,IC,Property Crimes,12.416666666666666,2021,4,2,14,5,1,8.2409125416889
7800    GOODLAND                     AV,34.2122,-118.4128,15,1502,1,39,M,W,501,0.0,IC,Property Crimes,9.0,2020,6,2,23,1,1,3.2188758248682006
200 N  BANDINI                      ST,33.7447,-118.2989,5,555,1,0,,,101,0.0,IC,Property Crimes,2.0,2020,2,6,2,6,1,0.0
700 W  CENTURY                      BL,33.9455,-118.2869,18,1821,1,58,M,B,502,205.0,IC,Violent Crimes,17.916666666666668,2020,6,2,3,2,6,0.0
12TH,34.0415,-118.2655,1,182,1,56,M,B,102,400.0,IC,Violent Crimes,19.0,2020,10,0,12,0,5,0.0
9500    BIANCA                       AV,34.2431,-118.5143,17,1768,1,60,F,W,101,0.0,IC,Property Crimes,21.0,2020,6,1,4,3,2,4.795790545596741
1100 W  CAPITOL                      DR,33.7574,-118.3013,5,541,2,28,F,W,502,0.0,AA,Crimes against Public Order,14.383333333333333,2020,11,2,17,1,3,3.2188758248682006
15700    LEADWELL                     ST,34.2039,-118.4749,10,1018,1,0,,,101,0.0,AA,Property Crimes,21.0,2020,11,5,13,4,1,3.2188758248682006
6100 W  98TH                         ST,33.9474,-118.3924,14,1496,1,0,,,101,0.0,IC,Property Crimes,17.0,2020,10,0,2,4,1,4.290459441148391
14600    PARTHENIA                    ST,34.2271,-118.4503,19,1985,1,41,M,H,222,0.0,IC,Property Crimes,7.0,2020,7,2,22,2,1,0.0
2300 S  RIDGELEY                     DR,34.0376,-118.3598,7,783,1,0,,,101,0.0,IC,Property Crimes,21.5,2020,10,6,24,5,1,3.2188758248682006
19100    SHERMAN                      WY,34.2012,-118.5469,10,1011,1,41,M,H,502,102.0,IC,Property Crimes,11.583333333333334,2020,10,0,26,0,9,0.0
11100    BALBOA                       BL,34.2757,-118.5144,17,1729,1,0,X,X,404,0.0,IC,Property Crimes,14.1,2020,12,0,19,5,2,3.8918202981106265
1200 W  2ND                          ST,34.0588,-118.2566,2,237,1,0,,,101,0.0,IC,Property Crimes,19.0,2020,12,4,10,3,1,3.2188758248682006
5900    YORK                         BL,34.1183,-118.1903,11,1138,2,87,M,O,502,500.0,AA,Property Crimes,12.25,2020,7,2,29,2,3,0.0
EL CENTRO,34.0987,-118.3337,6,646,1,35,M,W,101,0.0,IC,Property Crimes,8.0,2020,5,0,23,5,3,3.8918202981106265
1600 S  BERENDO                      ST,34.04,-118.2934,20,2076,1,0,,,101,0.0,IC,Property Crimes,0.016666666666666666,2020,12,1,1,1,1,0.0
200 S  AVENUE 57,34.107,-118.1923,11,1169,1,0,,,101,0.0,IC,Property Crimes,9.0,2020,5,5,7,3,1,3.8918202981106265
1800    ARAPAHOE                     ST,34.0401,-118.2852,20,2088,2,0,,,203,0.0,AA,Fraud and White-Collar Crimes,19.916666666666668,2020,3,3,19,6,1,7.149131598557407
17600    BROMLEY                      ST,34.176,-118.5168,10,1047,2,38,F,O,501,400.0,AO,Violent Crimes,22.333333333333332,2020,11,1,24,1,6,0.0
700 S  ARDMORE                      AV,34.0581,-118.302,20,2034,2,42,F,B,502,400.0,AO,Violent Crimes,17.75,2020,5,2,27,2,6,0.0
15200    DICKENS                      ST,34.1523,-118.4646,9,981,2,32,F,H,203,0.0,IC,Crimes against Public Order,12.0,2020,9,2,15,2,1,7.20414929203594
8800    DEBRA                        AV,34.2307,-118.4906,17,1797,1,36,M,W,501,400.0,AO,Property Crimes,14.5,2020,8,1,4,1,4,0.0
600 S  ALVARADO                     ST,34.0593,-118.275,2,246,1,26,F,B,801,200.0,AO,Violent Crimes,15.0,2020,2,6,23,6,10,0.0
8500    BALBOA                       BL,34.2248,-118.5151,17,1795,1,0,,,208,0.0,IC,Property Crimes,9.0,2020,4,3,4,5,1,4.795790545596741
5500    GROSVENOR                    BL,33.9782,-118.422,14,1463,1,34,M,B,502,0.0,IC,Property Crimes,22.0,2020,4,3,22,2,3,5.262690188904886
8TH,34.0474,-118.264,1,161,1,63,M,W,102,0.0,AO,Property Crimes,10.083333333333334,2020,1,3,9,3,4,0.0
CARLOS                       AV,34.1028,-118.3239,6,637,2,0,,,101,0.0,IC,Fraud and White-Collar Crimes,14.25,2020,5,0,16,3,1,6.842683282238422
52ND                         PL,33.9952,-118.274,13,1372,1,44,M,W,101,0.0,IC,Property Crimes,8.333333333333334,2020,7,1,14,1,2,0.0
700 W  80TH                         ST,33.9667,-118.2856,12,1266,1,62,M,B,501,500.0,IC,Violent Crimes,18.0,2020,3,0,25,1,6,4.976733742420574
1100 W  38TH                         ST,34.0173,-118.298,3,377,2,33,M,W,501,515.0,IC,Crimes against Public Order,20.333333333333332,2020,6,5,27,5,4,0.0
500 S  HARBOR                       BL,33.741,-118.2838,5,564,2,51,F,W,203,0.0,IC,Property Crimes,11.0,2020,10,5,16,4,1,3.2188758248682006
600 S  NORMANDIE                    AV,34.0636,-118.3047,20,2024,2,19,F,W,502,511.0,AO,Crimes against Public Order,6.5,2020,11,2,11,2,7,0.0
12800 W  RUNWAY                       RD,33.9753,-118.4197,14,1464,2,39,F,W,101,0.0,IC,Fraud and White-Collar Crimes,14.083333333333334,2021,10,4,21,0,2,9.15957325492253
OSBORNE                      ST,34.2359,-118.4346,19,1977,1,0,,,101,0.0,IC,Property Crimes,20.0,2020,5,0,24,6,1,3.2188758248682006
100 E  98TH                         ST,33.9472,-118.2739,18,1822,2,39,F,W,501,400.0,IC,Violent Crimes,12.666666666666666,2020,3,6,29,6,3,0.0
13100    GARBER                       ST,34.2557,-118.4201,16,1642,2,33,M,H,501,400.0,AA,Violent Crimes,3.1666666666666665,2020,11,4,27,4,6,0.0
20200    STRATHERN                    ST,34.2156,-118.5745,21,2128,2,76,M,W,501,0.0,IC,Fraud and White-Collar Crimes,13.0,2020,12,2,2,2,2,0.0
6500    WOODMAN                      AV,34.1887,-118.4313,9,929,1,0,,,101,0.0,IC,Property Crimes,17.0,2020,8,3,12,2,1,3.2188758248682006
12100    RIVERSIDE                    DR,34.1613,-118.4008,15,1544,1,56,M,B,203,0.0,IC,Property Crimes,6.0,2020,4,5,25,5,6,0.0
12100    FOOTHILL                     BL,34.2798,-118.3997,16,1614,1,69,M,H,217,0.0,IC,Property Crimes,19.5,2020,12,3,16,2,1,3.2188758248682006
13100    FOUNTAIN PARK                DR,33.9747,-118.4287,14,1463,1,51,M,W,502,0.0,IC,Property Crimes,11.916666666666666,2021,1,5,4,4,1,6.546785410760524
600 S  DUNSMUIR                     AV,34.0649,-118.3483,7,735,2,64,F,W,502,511.0,IC,Crimes against Public Order,9.5,2020,5,0,11,0,3,0.0
12800    MOORPARK                     ST,34.1533,-118.4058,15,1562,2,34,F,W,502,0.0,IC,Fraud and White-Collar Crimes,12.0,2020,3,0,10,1,3,4.976733742420574
700    CRENSHAW                     BL,34.0606,-118.3197,7,749,1,48,M,A,101,0.0,IC,Property Crimes,18.0,2020,11,5,18,6,2,6.705639094860003
14100    MAGNOLIA                     BL,34.1668,-118.4445,9,955,2,44,M,H,502,0.0,IC,Fraud and White-Collar Crimes,12.016666666666667,2020,9,4,5,2,2,6.963189985870238
1500    CRUSADO                      LN,34.059,-118.1947,4,448,2,22,F,H,501,400.0,AO,Violent Crimes,16.916666666666668,2020,3,2,4,2,2,0.0
1700 S  BURNSIDE                     AV,34.043,-118.3569,7,773,1,59,M,B,501,0.0,IC,Property Crimes,13.0,2020,2,5,7,4,1,3.2188758248682006
1500 N  WILTON                       PL,34.0981,-118.3136,6,648,1,23,M,H,108,0.0,IC,Property Crimes,17.166666666666668,2020,5,5,24,4,1,6.546785410760524
12700    VAN NUYS                     BL,34.2816,-118.4073,16,1602,1,53,M,B,210,0.0,IC,Property Crimes,12.0,2020,5,3,28,3,1,0.0
2700 S  SPAULDING                    AV,34.0309,-118.3695,3,311,2,42,F,O,501,400.0,AO,Violent Crimes,21.25,2020,2,2,12,2,8,0.0
6200    FULTON                       AV,34.1831,-118.4225,9,939,1,29,M,A,123,0.0,IC,Property Crimes,17.0,2020,4,1,6,0,1,3.2188758248682006
1200    4TH                          AV,34.0492,-118.3204,7,759,2,39,M,W,501,0.0,IC,Property Crimes,17.0,2020,2,5,17,0,1,4.795790545596741
5900 W  98TH                         ST,33.9473,-118.3863,14,1496,1,31,M,H,102,0.0,IC,Property Crimes,11.0,2020,8,4,27,3,2,3.2188758248682006
14500    VANOWEN                      ST,34.1939,-118.4487,9,923,1,0,X,X,202,514.0,IC,Property Crimes,22.0,2020,2,3,26,2,7,3.2188758248682006
2700 E  OLYMPIC                      BL,34.0243,-118.2198,4,497,1,0,M,X,203,0.0,IC,Property Crimes,16.833333333333332,2020,2,3,20,3,1,0.0
7800    VAN NUYS                     BL,34.2117,-118.4488,19,1995,1,36,M,O,108,307.0,AA,Violent Crimes,18.083333333333332,2020,11,1,14,5,3,4.290459441148391
13200    DAVENTRY                     ST,34.2764,-118.4204,16,1612,2,30,M,H,101,511.0,AO,Crimes against Public Order,10.333333333333334,2020,7,3,16,3,2,0.0
2300    PORTLAND                     ST,34.0339,-118.281,3,308,2,51,M,W,122,0.0,IC,Property Crimes,16.5,2020,3,1,16,0,3,3.2188758248682006
100 W  43RD                         ST,34.0056,-118.2746,13,1351,2,16,M,B,501,400.0,AO,Crimes against Persons,12.333333333333334,2020,10,3,13,1,4,3.8918202981106265
4200 W  3RD                          ST,34.069,-118.3061,20,2023,1,0,X,X,202,0.0,IC,Property Crimes,22.25,2020,6,1,30,1,3,0.0
7600    VAN NUYS                     BL,34.2084,-118.4599,9,904,2,0,X,X,210,0.0,IC,Property Crimes,22.166666666666668,2020,8,5,21,4,1,3.2188758248682006
500 S  MAIN                         ST,34.0465,-118.2488,1,154,2,28,F,H,502,400.0,AO,Violent Crimes,16.5,2020,7,0,13,0,2,0.0
3000    WEST VIEW                    ST,34.0283,-118.3492,3,331,1,81,M,W,101,0.0,IC,Property Crimes,9.0,2020,10,0,16,4,7,4.290459441148391
2400 S  RIDGELEY                     DR,34.0387,-118.3594,7,783,2,21,F,B,502,400.0,AO,Violent Crimes,22.5,2020,6,1,9,1,3,6.22455842927536
2300    LINCOLN PARK                 AV,34.072,-118.2025,4,424,2,30,M,H,501,400.0,IC,Violent Crimes,0.5,2020,10,5,17,5,5,0.0
6300 W  3RD                          ST,34.0713,-118.3595,7,734,1,19,M,O,406,0.0,IC,Property Crimes,9.5,2020,7,2,15,2,4,0.0
1500 W  20TH                         ST,34.0382,-118.2891,20,2099,1,33,F,H,501,0.0,IC,Property Crimes,22.0,2020,3,0,22,6,2,3.2188758248682006
81ST                         ST,33.9655,-118.2914,12,1266,1,0,X,X,104,0.0,IC,Property Crimes,21.0,2020,4,6,26,6,1,0.0
14400    HERRON                       ST,34.2979,-118.4458,19,1925,1,42,M,H,104,0.0,IC,Property Crimes,20.0,2020,7,3,23,5,2,7.029087564149662
4200    MOORE                        ST,33.9906,-118.4391,14,1453,1,35,M,W,121,0.0,IC,Property Crimes,16.0,2020,6,4,6,5,1,5.746203190540153
2600    EXPOSITION                   PL,34.0196,-118.3237,3,354,1,56,F,H,101,207.0,AO,Crimes against Persons,19.0,2020,5,4,14,3,6,3.2188758248682006
1300    CONWAY                       PL,34.0367,-118.2335,1,159,2,63,M,O,203,0.0,IC,Property Crimes,8.0,2020,11,2,25,2,1,0.0
800 N  ALAMEDA                      ST,34.0561,-118.2375,1,119,2,27,F,W,108,400.0,AO,Violent Crimes,0.16666666666666666,2020,6,4,12,4,9,0.0
2600 S  SEPULVEDA                    BL,34.0322,-118.4318,8,893,1,33,M,W,707,0.0,IC,Property Crimes,16.0,2021,1,3,14,0,4,6.3578422665081
1400    AMHERST                      AV,34.0412,-118.4657,8,841,1,24,M,V,104,0.0,IC,Property Crimes,14.0,2020,5,5,16,5,2,5.820082930352362
3RD,34.0458,-118.2361,1,139,1,28,F,H,101,0.0,IC,Property Crimes,19.5,2020,9,6,6,6,4,0.0
2100    CENTURY PARK,34.0585,-118.4119,8,848,2,81,M,W,501,0.0,IC,Fraud and White-Collar Crimes,10.5,2020,4,1,23,3,4,4.795790545596741
LARCHMONT                    BL,34.0817,-118.3237,7,719,1,34,M,W,101,0.0,IC,Property Crimes,22.0,2020,4,0,25,5,2,3.8918202981106265
900 S  HARVARD                      BL,34.0559,-118.3042,20,2044,2,34,M,A,501,400.0,AA,Violent Crimes,8.833333333333334,2020,1,2,22,2,4,0.0
800    COEUR D ALENE                AV,33.9897,-118.4537,14,1443,1,0,X,X,704,0.0,IC,Property Crimes,22.916666666666668,2020,11,1,17,1,2,0.0
5300    BEVIS                        AV,34.1667,-118.4564,9,952,2,3,F,W,501,0.0,AO,Crimes against Persons,10.0,2020,7,5,25,5,1,0.0
4700    VENICE                       BL,34.0471,-118.3384,7,765,2,25,M,W,108,400.0,AO,Violent Crimes,23.666666666666668,2020,11,2,24,1,4,3.2188758248682006
13600 W  VENTURA                      BL,34.1478,-118.4296,9,989,1,60,M,O,203,0.0,IC,Property Crimes,18.0,2020,10,2,6,1,3,3.2188758248682006
1200 W  ADAMS                        BL,34.0328,-118.2865,3,327,1,23,F,H,101,202.0,IC,Violent Crimes,18.0,2020,11,3,19,3,5,0.0
3100    BUDAU                        AV,34.0808,-118.1738,4,428,2,49,F,H,501,0.0,IC,Property Crimes,13.5,2020,2,6,16,6,1,0.0
10900    TAMARACK                     AV,34.268,-118.4288,16,1622,2,26,M,H,501,0.0,AA,Crimes against Public Order,18.333333333333332,2020,8,1,4,1,3,0.0
6800    WOODMAN                      AV,34.1976,-118.4356,9,916,1,33,F,H,119,0.0,IC,Property Crimes,10.166666666666666,2020,11,3,29,3,2,5.1298987149230735
6200    SYLMAR                       AV,34.2085,-118.4698,9,901,2,0,M,X,726,0.0,IC,Other Crimes,0.016666666666666666,2020,7,1,21,1,1,0.0
12200    BEAUFAIT                     AV,34.2948,-118.5403,17,1714,1,0,X,X,501,0.0,IC,Property Crimes,7.0,2020,10,0,1,3,3,6.07073772800249
4000 S  MUIRFIELD                    RD,34.0111,-118.3477,3,363,1,0,,,101,0.0,IC,Property Crimes,2.0,2020,12,3,25,4,1,4.976733742420574
13000    BORDEN                       AV,34.3061,-118.4414,19,1916,1,22,X,X,721,0.0,IC,Property Crimes,14.0,2020,10,0,23,4,1,4.290459441148391
400 S  HOBART                       BL,34.0653,-118.3053,20,2023,2,25,M,O,502,0.0,IC,Fraud and White-Collar Crimes,5.0,2020,10,4,13,6,4,6.675823221634848
20300    COHASSET                     ST,34.2071,-118.5797,21,2138,2,33,F,B,502,400.0,AO,Violent Crimes,18.0,2020,7,0,20,0,2,0.0
2800    LANCASTER                    AV,34.0571,-118.1946,4,448,1,0,X,X,108,0.0,IC,Property Crimes,8.5,2020,3,0,28,5,1,3.8918202981106265
7700 S  BROADWAY,33.9693,-118.285,12,1257,2,39,M,H,502,0.0,IC,Crimes against Public Order,4.483333333333333,2020,12,1,20,6,1,3.8918202981106265
200 S  NEW HAMPSHIRE                AV,34.0705,-118.2929,20,2017,2,55,F,H,122,0.0,IC,Property Crimes,14.333333333333334,2020,12,0,7,0,4,0.0
700 W  108TH                        ST,33.9382,-118.2875,18,1841,2,55,F,B,501,400.0,IC,Violent Crimes,14.5,2020,11,0,2,0,4,0.0
700 W  41ST                         DR,34.0087,-118.2857,3,398,2,93,M,H,502,301.0,AO,Crimes against Persons,20.833333333333332,2020,1,3,30,3,8,0.0
900 S  BROADWAY,34.0423,-118.2561,1,185,2,42,F,H,101,0.0,IC,Fraud and White-Collar Crimes,13.6,2020,4,1,7,1,5,0.0
2200    LYRIC                        AV,34.1004,-118.274,11,1143,1,39,M,O,104,0.0,IC,Property Crimes,13.083333333333334,2020,3,2,11,1,1,6.546785410760524
DON TOMASO                   DR,34.0025,-118.354,3,391,1,60,F,B,101,0.0,IC,Property Crimes,19.5,2020,12,0,5,5,4,3.8918202981106265
8TH,34.0445,-118.2558,1,163,1,20,F,O,102,400.0,AO,Property Crimes,19.833333333333332,2020,2,6,1,5,5,3.2188758248682006
200 S  NEW HAMPSHIRE                AV,34.0709,-118.2929,20,2017,1,74,M,H,502,0.0,IC,Property Crimes,12.0,2020,3,2,25,2,4,0.0
1700 W  68TH                         ST,33.9778,-118.3084,12,1243,1,63,F,B,101,0.0,AO,Property Crimes,18.583333333333332,2020,10,2,7,2,3,0.0
500 S  MAIN                         ST,34.0467,-118.2485,1,154,2,29,F,B,502,511.0,AO,Crimes against Public Order,13.5,2020,2,2,12,2,2,0.0
47TH                         ST,34.0011,-118.2696,13,1352,1,40,F,B,101,102.0,IC,Violent Crimes,17.083333333333332,2020,6,1,30,1,4,0.0
7000 W  SUNSET                       BL,34.098,-118.342,6,645,1,49,M,H,203,500.0,AA,Violent Crimes,8.5,2020,10,2,7,2,4,0.0
21000    STRATHERN                    ST,34.2159,-118.5915,21,2126,2,95,M,W,501,0.0,IC,Fraud and White-Collar Crimes,10.5,2020,8,1,13,3,2,4.795790545596741
8500    SUNLAND                      BL,34.2249,-118.3657,16,1676,2,52,F,H,502,511.0,AO,Crimes against Public Order,16.5,2020,8,4,28,4,4,0.0
4400    VINELAND                     AV,34.1505,-118.3702,15,1566,1,63,M,W,221,0.0,IC,Property Crimes,11.75,2020,9,2,13,5,4,7.573017256052546
4000    CRENSHAW                     BL,34.0126,-118.3403,3,363,1,19,X,X,404,0.0,IC,Property Crimes,13.616666666666667,2020,8,4,14,4,5,0.0
1900 S  LA CIENEGA                   BL,34.0426,-118.3764,7,782,2,0,X,X,203,0.0,IC,Fraud and White-Collar Crimes,15.0,2020,3,1,24,4,1,7.273092595999522
3500 W  39TH                         ST,34.0146,-118.3338,3,373,2,49,F,B,501,0.0,IC,Fraud and White-Collar Crimes,9.0,2020,2,5,11,1,3,5.579729825986222
2700 W  OLYMPIC                      BL,34.0526,-118.2916,20,2056,1,62,F,A,108,0.0,IC,Property Crimes,19.633333333333333,2020,1,5,9,3,1,3.8918202981106265
3200 W  36TH                         ST,34.0231,-118.3305,3,334,1,0,,,101,0.0,IC,Property Crimes,17.0,2020,7,4,9,3,1,3.2188758248682006
2200    SAN YSIDRO                   DR,34.1114,-118.4245,8,808,2,34,F,W,121,0.0,IC,Property Crimes,22.5,2020,7,0,12,6,1,3.2188758248682006
15400    CHATSWORTH                   ST,34.2646,-118.4674,19,1951,1,21,M,H,101,0.0,IC,Property Crimes,15.0,2020,12,6,8,1,1,4.795790545596741
22700 S  WESTERN                      AV,33.8198,-118.3089,5,507,1,0,,,101,0.0,IC,Property Crimes,3.3333333333333335,2020,8,0,17,0,1,0.0
8500    DE SOTO                      AV,34.2246,-118.5885,17,1791,2,24,F,A,501,400.0,AO,Violent Crimes,12.0,2020,10,2,28,2,6,0.0
BROADWAY,34.0214,-118.2723,13,1331,1,0,,,101,0.0,IC,Property Crimes,16.5,2020,7,2,1,2,1,0.0
WINNETKA                     AV,34.2536,-118.5711,17,1763,1,0,,,101,0.0,IC,Property Crimes,14.0,2020,8,2,12,2,1,0.0
1200 S  FLOWER                       ST,34.0415,-118.2654,1,182,2,33,F,K,122,0.0,IC,Property Crimes,20.0,2020,5,5,29,4,1,3.2188758248682006
5700 W  CENTINELA                    AV,33.9761,-118.3726,14,1469,1,36,M,B,707,0.0,IC,Property Crimes,22.0,2020,6,6,26,4,2,3.8918202981106265
VENTURA                      BL,34.1405,-118.3702,15,1596,1,56,M,W,101,0.0,IC,Property Crimes,21.5,2020,2,1,24,0,2,3.2188758248682006
5900    DEANE                        AV,33.9863,-118.3378,12,1232,1,29,M,H,101,102.0,IC,Violent Crimes,7.666666666666667,2020,8,0,10,0,6,0.0
7100    ALVERN                       ST,33.975,-118.3774,14,1469,1,36,M,O,502,212.0,IC,Violent Crimes,23.0,2020,2,2,4,1,4,3.2188758248682006
400 N  AVENUE 52,34.1107,-118.2027,11,1137,2,14,F,W,501,0.0,IC,Violent Crimes,0.016666666666666666,2020,11,1,1,0,2,8.348774539791274
VIRGIL,34.0982,-118.2874,11,1162,2,7,M,H,101,400.0,AA,Violent Crimes,12.833333333333334,2020,1,3,9,3,7,0.0
3000 S  VICTORIA                     AV,34.0276,-118.3363,3,333,2,38,M,B,501,0.0,IC,Crimes against Public Order,12.916666666666666,2020,2,6,16,6,2,0.0
5000    OBAMA                        BL,34.0171,-118.3531,3,361,1,19,X,X,402,0.0,IC,Property Crimes,12.833333333333334,2020,1,5,25,5,3,0.0
1800    RODNEY                       DR,34.1036,-118.2896,11,1142,1,0,,,101,0.0,IC,Property Crimes,18.0,2020,3,1,2,0,1,3.2188758248682006
16900    SAN FERNANDO MISSION         BL,34.272,-118.4994,17,1737,1,23,M,H,108,307.0,AO,Violent Crimes,21.583333333333332,2020,3,6,15,6,4,0.0
6300    YORK                         BL,34.1148,-118.1826,11,1128,1,0,M,O,203,0.0,IC,Property Crimes,15.833333333333334,2020,6,1,9,1,2,0.0
OLIVE                        ST,34.0509,-118.2515,1,142,1,40,F,W,101,0.0,IC,Property Crimes,9.5,2020,10,4,13,6,3,6.124683390894205
4100    VERDUGO                      RD,34.125,-118.2317,11,1112,2,32,F,W,108,400.0,AO,Violent Crimes,13.25,2020,11,1,2,0,2,3.2188758248682006
900 S  NEW HAMPSHIRE                AV,34.056,-118.2929,20,2046,1,0,X,X,502,0.0,IC,Property Crimes,3.5,2020,1,2,5,6,4,6.013715156042802
7400 S  HARVARD                      BL,33.9709,-118.3068,12,1253,1,46,M,H,501,0.0,IC,Property Crimes,2.5,2020,7,2,29,2,1,0.0
7200    DEERING                      AV,34.2011,-118.5966,21,2136,2,59,F,W,104,0.0,IC,Crimes against Public Order,17.333333333333332,2020,7,1,14,1,1,0.0
2000 W  FLORENCE                     AV,33.9746,-118.3137,12,1253,1,35,F,H,102,106.0,IC,Violent Crimes,4.833333333333333,2020,12,3,31,3,4,0.0
4500    CEDROS                       AV,34.1535,-118.4531,9,974,1,78,F,W,707,0.0,IC,Property Crimes,19.0,2020,10,2,20,1,6,3.2188758248682006
3000    CRENSHAW                     BL,34.0276,-118.3351,3,334,2,0,X,X,210,400.0,IC,Property Crimes,10.416666666666666,2020,3,6,1,6,2,0.0
7TH                          ST,34.0407,-118.2468,1,157,1,53,M,B,101,312.0,IC,Property Crimes,23.333333333333332,2020,9,4,24,3,5,3.2188758248682006
8300    NORTHGATE                    AV,34.221,-118.604,21,2105,2,35,M,H,503,0.0,AO,Crimes against Public Order,17.0,2020,5,1,5,1,1,0.0
VANOWEN,34.194,-118.3768,15,1517,1,0,,,101,0.0,IC,Property Crimes,21.5,2020,6,3,9,1,1,3.8918202981106265
90TH,33.9546,-118.2782,18,1802,1,34,F,H,101,0.0,IC,Property Crimes,2.0,2020,1,4,24,4,6,0.0
3100    WILSHIRE                     BL,34.0652,-118.2878,20,2029,2,21,F,W,203,400.0,AO,Violent Crimes,11.916666666666666,2020,2,1,25,1,6,0.0
100 E  54TH                         ST,33.9933,-118.274,13,1372,1,29,F,H,101,0.0,IC,Property Crimes,4.0,2020,12,3,31,3,1,0.0
16TH                         ST,34.0235,-118.2448,13,1317,1,0,M,W,101,0.0,AO,Property Crimes,13.666666666666666,2020,1,3,23,3,3,0.0
13700    OXNARD                       ST,34.1794,-118.4312,9,946,1,59,M,W,203,0.0,IC,Property Crimes,0.75,2020,5,5,16,5,1,0.0
6400 W  6TH                          ST,34.0656,-118.3679,7,732,2,33,M,W,101,400.0,IC,Violent Crimes,10.5,2020,6,4,5,4,1,0.0
1700    BROCKTON                     AV,34.0386,-118.4588,8,852,1,23,M,C,108,0.0,IC,Property Crimes,22.5,2020,3,1,2,0,2,5.262690188904886
10100    MT GLEASON                   AV,34.2549,-118.3195,16,1656,2,35,M,O,501,0.0,AA,Fraud and White-Collar Crimes,12.0,2020,7,6,12,6,1,5.1298987149230735
16900    CALAHAN                      ST,34.2366,-118.5,17,1776,1,37,F,H,104,0.0,IC,Property Crimes,5.0,2020,11,6,29,6,1,0.0
WILMINGTON                   BL,33.7823,-118.2744,5,514,2,51,M,H,101,400.0,IC,Violent Crimes,16.583333333333332,2020,4,3,30,3,5,0.0
700 W  21ST                         ST,34.0332,-118.2759,3,319,2,32,F,B,501,400.0,AA,Violent Crimes,4.0,2020,11,3,26,3,4,0.0
1300 S  VERMONT                      AV,34.0436,-118.296,20,2076,1,26,M,H,502,500.0,AO,Violent Crimes,21.0,2020,7,3,22,2,8,5.262690188904886
SELMA,34.0997,-118.3361,6,646,2,52,F,W,102,400.0,IC,Property Crimes,12.0,2020,4,4,17,4,3,0.0
5400    5TH                          AV,33.9932,-118.3225,12,1211,1,45,M,H,101,0.0,IC,Property Crimes,5.0,2020,4,4,12,6,2,4.795790545596741
