Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Time_Difference_Log
3500 W  SLAUSON                      AV,33.989,-118.333,12,1232,1,0329 0913 1609,25,F,B,501,512.0,AO,1,34.45,2020,5,2,27,2,0.0
1200 E  CESAR E CHAVEZ               AV,34.0529,-118.2222,4,453,2,1402 1822,49,M,H,509,0.0,IC,2,59.49250000000001,2020,9,2,9,2,0.0
1600    MICHAEL                      LN,34.0786,-118.5641,8,801,1,0344 0346 1822,52,F,W,501,0.0,IC,0,21.2,2020,3,2,3,1,3.2188758248682006
200 W  115TH                        ST,33.9301,-118.2761,18,1862,1,1822 0329 0344 0385 1300,36,F,H,101,500.0,IC,0,25.1485,2020,5,1,19,1,0.0
1000    VERNON                       AV,34.0029,-118.4628,14,1415,2,1501,46,M,W,501,0.0,IC,2,56.44499999999999,2020,6,1,16,1,0.0
14300    CHAMBERLAIN                  ST,34.2678,-118.4457,19,1943,2,0401 0561 1402,64,M,H,501,400.0,IC,1,55.65,2020,5,0,11,0,0.0
6TH                          ST,34.0624,-118.2813,2,251,1,1822 0344 0377 0400 0346,24,F,H,101,400.0,IC,0,42.4,2020,10,4,30,4,0.0
3700    RAYMOND                      AV,34.0205,-118.2977,3,357,1,1606 0344 2032 1300 1309 1822,35,M,H,101,0.0,IC,0,14.442499999999999,2020,6,6,22,0,4.976733742420574
3200    LANDA                        ST,34.0953,-118.2691,11,1171,2,0377 1822,35,M,W,501,0.0,IC,3,8.0825,2020,5,3,12,3,7.427144133408616
6400    BRYNHURST                    AV,33.9817,-118.3338,12,1241,2,1257 1251 0913 0360 0500 2021,5,F,B,501,400.0,AO,4,53.0,2020,9,1,28,4,6.07073772800249
2500    WEST VIEW                    ST,34.0336,-118.3441,3,305,2,2000 1814 0913 0408 0448 0421,35,F,B,101,400.0,AA,1,40.1475,2020,11,5,28,5,0.0
1100 W  58TH                         PL,33.9884,-118.2937,12,1239,1,0400 0416 0913 2000 1814,21,M,H,104,304.0,IC,1,34.45,2020,1,1,21,1,0.0
2600 S  SAN PEDRO                    ST,34.0211,-118.2616,13,1323,2,0345 0104 0202 0432 0421 0325 0913,23,M,H,248,511.0,IC,2,46.2425,2020,10,2,14,2,0.0
1300 E  16TH                         ST,34.0262,-118.2483,13,1317,1,0358 0344 0321 0329 1601 0202,0,X,X,120,0.0,IC,0,47.8325,2020,8,0,2,6,3.2188758248682006
11100    ALEMANY                      DR,34.2776,-118.4619,19,1935,1,2032 0344,37,F,B,721,0.0,IC,0,37.895,2020,2,5,11,1,4.574710978503383
4300    GARTHWAITE                   AV,34.0057,-118.3278,3,393,2,0421 2000 0913 1814 1276 1251,32,F,B,502,511.0,AO,2,58.3,2020,5,3,21,3,0.0
5900    GRACIOSA                     DR,34.1227,-118.3181,6,627,1,1300 0344 1601,54,F,K,707,0.0,IC,0,51.2775,2020,3,1,27,3,5.666426688112432
2500 S  CENTRAL                      AV,34.0199,-118.2545,13,1325,1,0344 2000 0913 0416,53,F,H,501,400.0,IC,0,45.05,2020,9,6,6,6,0.0
1200    WALL                         ST,34.035,-118.2553,13,1303,1,0358 0344 0209,0,X,X,405,0.0,IC,0,16.695,2020,4,6,3,4,3.8918202981106265
900 S  ROBERTSON                    BL,34.0596,-118.3836,8,849,1,0344 1251 1402,22,F,A,210,0.0,IC,0,53.265,2020,3,0,30,0,0.0
14900    CHATSWORTH                   ST,34.2645,-118.457,19,1955,1,,62,M,H,104,0.0,IC,0,39.8295,2020,7,0,1,0,7.0707241072602764
22ND                         ST,34.0268,-118.2619,13,1322,1,0334 0421 0416 1822,40,M,H,101,102.0,IC,2,38.425,2020,12,3,10,3,0.0
10900    FRUITLAND                    DR,34.1385,-118.3681,15,1596,1,1300 0344,33,M,W,103,0.0,IC,0,59.75749999999999,2020,9,6,3,3,5.484796933490655
300    WINSTON                      ST,34.0455,-118.2452,1,147,2,0416 1822,66,F,B,102,400.0,IC,1,29.68,2020,3,1,17,1,0.0
5800    HOLMES                       AV,34.0096,-118.244,13,1347,2,0329 1300,46,M,H,122,0.0,IC,0,31.8,2020,3,2,16,6,6.013715156042802
1100 N  SYCAMORE                     AV,34.0907,-118.3428,6,663,2,1822 0701,26,F,O,501,0.0,IC,3,30.21,2020,5,6,30,3,4.290459441148391
00 S  VENICE                       BL,33.984,-118.4705,14,1441,2,0400 0500 1814 2000,34,M,H,501,400.0,IC,1,45.845,2020,2,4,19,2,3.8918202981106265
1700    BEVERLY                      BL,34.0647,-118.2658,2,236,2,1307 0329,28,M,H,122,0.0,IC,0,40.545,2020,11,3,26,3,0.0
WHITSETT,34.2012,-118.405,15,1513,2,1300 0329,25,M,B,101,0.0,IC,0,29.5475,2020,5,0,11,0,0.0
800 E  109TH                        PL,33.9364,-118.2609,18,1844,2,0913 1906,54,M,B,501,0.0,IC,2,26.5,2021,7,6,1,0,9.164610520270008
6700    TAMPA                        AV,34.1923,-118.5534,10,1023,1,1822 0344,0,M,W,102,0.0,AO,0,43.195,2020,5,6,24,6,0.0
1900 S  SHENANDOAH                   ST,34.0418,-118.3848,8,889,1,0344 0377 1822,43,F,W,108,0.0,IC,0,35.6425,2020,12,5,5,5,5.1298987149230735
7TH                          ST,34.0387,-118.2439,13,1307,1,0906 1218 1402 0411 1822,55,M,B,101,218.0,IC,4,32.86,2020,8,4,14,4,0.0
8600 S  WESTERN                      AV,33.96,-118.309,12,1273,1,0344 0400 0416 0417 1310 1313 0913 0342,49,F,B,101,400.0,IC,0,24.645000000000003,2020,1,0,20,0,0.0
18100    ROSCOE                       BL,34.2208,-118.5279,10,1004,1,0329 0400 0416 1822 0906 1300 0371 0446,21,M,H,122,400.0,IC,2,53.53,2020,2,1,4,1,0.0
5900    BUFFALO                      AV,34.1776,-118.4299,9,948,1,,0,,,101,0.0,IC,0,37.1,2020,4,6,4,5,3.2188758248682006
200 W  SANTA CRUZ                   ST,33.7442,-118.2817,5,558,2,0416 0448 2000 2002 1813 0913,57,F,H,104,400.0,AO,1,0.026500000000000003,2020,8,6,16,6,0.0
500 S  UNION                        AV,34.0583,-118.2692,2,257,1,0344 0913 1814 0432 2000 2001,25,F,B,502,400.0,AO,0,31.8,2020,6,5,19,4,3.2188758248682006
11700    FOOTHILL                     BL,34.2735,-118.3866,16,1634,1,0397 0344,55,M,W,120,0.0,IC,0,37.895,2020,3,0,12,3,4.574710978503383
2000    ZONAL                        AV,34.0597,-118.2054,4,443,1,325,0,X,X,118,0.0,IC,0,40.545,2020,4,4,23,3,3.2188758248682006
1800 W  68TH                         ST,33.9778,-118.309,12,1243,2,0344 0701 0800 1210 0112,27,F,H,501,0.0,IC,3,31.8,2020,2,1,25,1,0.0
1600    HILTS                        AV,34.0548,-118.4316,8,834,2,0701 1822 1900 1901,39,F,W,501,0.0,IC,3,59.36,2020,12,3,22,6,5.579729825986222
6300    VARIEL                       AV,34.1845,-118.5928,21,2158,2,1266 0416 0443 0319 1822,63,M,O,243,400.0,IC,1,53.795,2020,8,4,15,5,4.976733742420574
BELOIT                       AV,34.0431,-118.444,8,882,1,0344 0346,27,M,W,101,0.0,IC,0,48.6275,2020,11,4,5,3,3.2188758248682006
MCCORMICK,34.1695,-118.3659,15,1549,2,0377 1822 1501 2004,28,M,X,101,0.0,AA,3,26.5,2020,1,2,15,2,0.0
109TH                        ST,33.9373,-118.2608,18,1844,2,0329 1300 1822,66,F,B,122,0.0,IC,0,39.75,2020,2,0,15,5,3.8918202981106265
7300    VAN NUYS                     BL,34.203,-118.4487,9,906,2,0305 0416 0446 1822,55,M,H,108,400.0,IC,1,56.709999999999994,2020,7,6,12,6,0.0
500    ROSE                         AV,33.9981,-118.4741,14,1413,2,0400 0444,28,F,W,101,400.0,IC,1,29.5475,2020,2,5,22,5,0.0
6200    CALVIN                       AV,34.1826,-118.5557,10,1031,2,0329 0913,68,F,W,501,0.0,IC,0,45.4475,2020,5,3,21,3,0.0
1500 W  PACIFIC COAST                HY,33.7895,-118.3027,5,531,2,0913 0522 2000 1813,35,F,W,502,400.0,IC,1,55.65,2020,2,5,27,3,3.8918202981106265
100 E  JEFFERSON                    BL,34.0223,-118.2719,13,1331,2,1309 0329 1402 0397,0,X,X,108,0.0,AA,0,29.15,2020,3,6,22,6,0.0
4600    ELLENITA                     AV,34.1539,-118.563,10,1091,1,0913 1817 0500 0516 0512 0202 0211,36,F,H,501,400.0,AO,1,40.545,2020,9,4,10,3,3.2188758248682006
4500 W  HOLLYWOOD                    BL,34.0993,-118.2837,11,1152,1,0325 2004,0,X,X,406,0.0,IC,0,45.05,2020,9,5,19,5,0.0
700 E  73RD                         ST,33.9739,-118.263,12,1259,2,0329 0913 0443 1814 1402,43,M,H,122,400.0,IC,0,53.0,2020,5,5,23,5,0.0
900 N  WESTERN                      AV,34.0888,-118.3124,6,657,2,0917 0443 0334 0319 0913,32,F,H,402,500.0,AA,2,32.1975,2020,3,0,16,0,0.0
22100    CLARENDON                    ST,34.1696,-118.6102,21,2185,1,,0,,,101,0.0,IC,0,55.65,2020,9,1,5,5,4.290459441148391
18400    BURBANK                      BL,34.1718,-118.5338,10,1063,1,0344 1822 1611,0,M,W,702,0.0,IC,0,5.6975,2020,2,0,24,0,0.0
6900    VESPER                       AV,34.1961,-118.451,9,914,2,0329 1307,0,M,X,122,0.0,AA,0,3.1799999999999997,2020,6,6,14,6,0.0
CAMARILLO                    ST,34.1577,-118.3702,15,1557,2,329,26,M,B,122,0.0,IC,0,31.8,2020,12,5,5,5,0.0
400    MAR VISTA                    AV,33.7733,-118.2776,5,524,1,,0,,,101,0.0,IC,0,58.3,2020,12,3,16,2,3.2188758248682006
8400    DAY                          ST,34.2543,-118.3158,16,1656,1,0344 1606,68,M,W,501,0.0,IC,0,55.65,2020,4,5,16,3,3.8918202981106265
600    GAYLEY                       AV,34.0626,-118.4491,8,838,1,0344 1251 1822 1607 0349,21,M,W,710,0.0,IC,0,31.8,2020,5,0,23,5,3.8918202981106265
1300 S  BURLINGTON                   AV,34.0451,-118.2792,2,295,1,0344 1822 1309 0400 0377,76,F,H,104,400.0,IC,0,35.6425,2020,8,0,28,4,4.290459441148391
200 W  73RD                         ST,33.9737,-118.2761,12,1258,2,1300 0329 0554,23,M,H,122,0.0,AO,0,43.195,2020,1,6,18,5,3.2188758248682006
15600    SHERMAN                      WY,34.2011,-118.474,10,1029,2,0329 1822 0447 1420 0209 1414,0,M,W,301,306.0,IC,0,14.045000000000002,2020,8,3,24,0,4.290459441148391
GRAND VIEW,34.0559,-118.28,2,261,2,0342 1822 1206 0416 0429 1601 0305,54,M,H,102,400.0,IC,1,0.053000000000000005,2020,1,0,27,0,0.0
6100    FLEURY                       LN,34.182,-118.6136,21,2155,2,2000 0448 1814,37,F,W,501,400.0,AA,1,2.65,2020,6,6,14,6,0.0
3900    STEVELY                      AV,34.0159,-118.3536,3,361,2,1822 0329 1300 1309 1407 0342,36,M,H,122,109.0,IC,0,42.426500000000004,2020,12,5,19,5,0.0
53RD                         ST,33.9943,-118.2652,13,1372,1,,0,,,101,0.0,IC,0,15.9,2020,3,5,21,5,0.0
100 E  51ST                         ST,33.9965,-118.274,13,1362,1,1402 2000 0913 0432 0411,34,F,H,502,200.0,AO,1,54.325,2020,5,6,31,6,0.0
NORDHOFF,34.2337,-118.463,19,1972,1,2000 1309 1814 1310 0913 0906 0416,31,F,H,101,307.0,AA,1,19.345,2020,9,3,17,3,0.0
1000 S  CORNING                      ST,34.0572,-118.3773,8,849,1,,0,,,101,0.0,AA,0,53.795,2020,11,3,18,2,3.2188758248682006
1300 S  HUDSON                       AV,34.0491,-118.3381,7,765,1,,0,,,101,0.0,IC,0,31.8,2020,10,6,23,4,3.8918202981106265
500 N  VERMONT                      AV,34.0791,-118.2917,2,212,2,1251 0356 0419 1822 2004,24,F,W,102,400.0,IC,1,22.525,2020,1,1,28,1,0.0
WASHINGTON,33.9792,-118.4666,14,1452,1,1300 0344,29,M,O,108,0.0,IC,0,39.75,2020,9,0,20,6,3.2188758248682006
600 S  FIGUEROA                     ST,34.0505,-118.2588,1,152,2,0910 0416 0429 0301,75,F,H,903,400.0,IC,1,42.665000000000006,2020,10,2,28,2,0.0
VAN NUYS                     BL,34.2588,-118.4321,16,1641,1,0400 2000,26,F,B,108,400.0,AA,1,47.7,2021,2,6,1,3,8.188966863648876
GLORIA                       AV,34.2238,-118.4811,17,1799,1,1202 0385 1602 0344,74,F,H,101,0.0,IC,0,26.5,2020,9,0,3,4,8.71948076085107
BELLAIRE                     AV,34.194,-118.4094,15,1512,1,0344 0394,46,M,W,501,0.0,IC,0,27.189,2020,5,2,22,2,6.22455842927536
1400 W  37TH                         ST,34.021,-118.3029,3,356,1,0329 0344 0913 1606 1822,23,M,H,501,0.0,AO,0,23.85,2020,7,3,9,3,0.0
56TH                         ST,33.9916,-118.3002,12,1215,1,1822 0344 0400 0416 0429 0342,40,F,B,222,400.0,IC,0,54.325,2020,7,5,4,5,0.0
1100 S  BEVERLY                      DR,34.0564,-118.3962,8,857,2,2000 1814 0416 0445 1402,25,M,B,503,400.0,AO,1,13.25,2020,5,4,29,4,0.0
8500    LEHIGH                       AV,34.2239,-118.3678,16,1675,1,,0,,,101,0.0,IC,0,27.295,2020,6,4,26,4,0.0
12900 W  VENTURA                      BL,34.1451,-118.4137,9,998,1,0432 0334 0371 0906 1310 1300 1822,49,M,B,101,102.0,IC,1,53.6625,2020,8,3,26,2,3.2188758248682006
80TH                         ST,33.9669,-118.2783,12,1266,1,1100 0302 0430 2047 1822,22,M,H,102,106.0,IC,1,60.95,2020,6,5,26,4,3.2188758248682006
1200 S  PATTON                       AV,33.7325,-118.3056,5,562,1,0321 0344 1300,31,M,W,101,0.0,IC,0,47.7,2020,12,5,17,3,3.8918202981106265
LILLIAN                      WY,34.0907,-118.3277,6,666,2,0329 1300 0216,35,F,B,101,0.0,IC,0,24.38,2020,6,6,28,6,0.0
1000 W  AVENUE 37,34.1019,-118.2264,11,1147,2,2038 0913,35,F,O,501,0.0,AO,2,39.75,2020,2,0,31,4,4.290459441148391
9000    BARTEE                       AV,34.2341,-118.4153,19,1979,2,1300 0329,28,F,H,101,0.0,IC,0,50.615,2020,6,0,29,0,0.0
12300    TEXAS                        AV,34.0408,-118.4685,8,841,2,0929 1822,40,F,A,502,0.0,IC,3,31.8,2020,10,3,28,0,6.61338421837956
5700    SEPULVEDA                    BL,34.174,-118.4662,9,941,1,0344 1402,63,F,W,108,0.0,IC,0,37.895,2020,1,1,21,1,0.0
BROADWAY,34.0409,-118.2574,1,185,2,1501 1822,0,X,X,101,0.0,IC,5,30.475,2020,11,6,22,6,0.0
7900    WOODMAN                      AV,34.2145,-118.4311,19,1999,2,1822,25,M,O,502,0.0,IC,3,29.945,2020,4,3,23,3,0.0
10400    SUNLAND                      BL,34.2598,-118.3274,16,1656,1,0344 1609 0321,40,M,W,221,0.0,IC,0,31.8,2020,8,0,7,1,6.892641641172089
5700 W  2ND                          ST,34.071,-118.3446,7,726,1,,0,,,101,0.0,IC,0,34.45,2020,10,4,4,6,4.795790545596741
CLOVERDALE                   AV,34.069,-118.3462,7,736,1,1300 1601 0344,31,F,W,101,0.0,IC,0,50.35,2020,2,4,19,2,3.8918202981106265
800 S  GRAND                        AV,33.737,-118.2901,5,565,1,0344 1300 0377 1606,46,F,B,707,0.0,IC,0,50.35,2020,1,3,28,1,3.8918202981106265
1600 N  POINSETTIA                   PL,34.0998,-118.3479,6,643,1,1202 0344 0377 0380 0114 1822,85,F,W,502,0.0,IC,0,45.845,2020,5,4,14,3,5.8888779583328805
400 E  WASHINGTON                   BL,34.0296,-118.2614,13,1313,1,0216 0329 1609 0358,0,X,X,203,0.0,IC,0,0.6625,2020,4,6,26,6,0.0
4000    ELDERBANK                    DR,34.0933,-118.1993,4,402,2,100,38,F,H,751,0.0,IC,3,48.23,2021,2,4,26,5,7.305860032684009
700 N  FRESNO                       ST,34.0449,-118.1943,4,459,2,0342 0701 0344 1309 1202,72,F,H,602,0.0,IC,3,48.0975,2020,3,1,24,1,0.0
10000    PINEWOOD                     AV,34.253,-118.2907,16,1657,2,0416 1822,50,M,H,502,400.0,IC,1,58.3,2020,7,3,11,5,4.795790545596741
600 N  FAIRFAX                      AV,34.0847,-118.3686,7,701,1,0913 2000 1814 0408 0444 0448 1402 1419 1407,24,F,W,502,400.0,AA,1,2.65,2020,5,5,2,5,0.0
GRAND,34.0389,-118.2643,1,182,1,0340 0334 0302 0355 0344 0377 1822,25,M,W,102,102.0,IC,0,56.021,2020,1,6,25,5,3.2188758248682006
3300 W  6TH                          ST,34.0636,-118.2947,20,2027,1,0216 0342 0344 0377 1822 2032,41,M,A,108,0.0,IC,0,57.1075,2020,11,2,25,2,0.0
6200    RESEDA                       BL,34.1847,-118.5441,10,1033,2,0400 0416 1258 0552,11,M,B,502,500.0,AA,1,47.7,2020,2,2,18,1,3.2188758248682006
1000    TIVERTON                     AV,34.0621,-118.4428,8,817,2,0329 1822,0,X,X,210,0.0,AO,0,0.7949999999999999,2020,1,6,5,6,0.0
5800 W  SUNSET                       BL,34.0998,-118.3211,6,647,1,0344 1822 1501 1251,26,M,W,502,0.0,IC,0,50.35,2020,12,6,8,1,4.795790545596741
1600    OAK GROVE                    DR,34.1311,-118.2031,11,1117,1,0344 0385 1822,48,F,W,101,0.0,IC,0,26.5,2020,12,1,7,2,7.509335266016592
600 W  80TH                         ST,33.9667,-118.2852,12,1266,2,2000 0400 1814 0429 0419 0913,28,F,H,502,400.0,AO,1,31.8,2020,7,0,6,0,0.0
2700 W  SUNSET                       BL,34.0808,-118.2655,11,1181,1,0400 0431 0913 1820 1817,24,M,B,503,512.0,IC,0,27.560000000000002,2020,9,0,21,0,0.0
GRIFFITH                     AV,34.0224,-118.2564,13,1323,2,2000 0444 0429 0419 0416 0356,22,F,H,101,400.0,IC,1,24.91,2020,3,1,3,1,0.0
FLOWER,34.0008,-118.4667,14,1414,1,344,36,M,W,140,0.0,IC,0,55.65,2020,4,2,1,2,0.0
600 S  ALVARADO                     ST,34.0593,-118.275,2,246,2,0444 1822 1237,45,M,B,242,400.0,AO,1,30.554499999999997,2020,10,6,11,6,0.0
HARVARD                      ST,34.103,-118.305,6,639,1,,0,,,101,0.0,IC,0,32.595,2020,11,0,16,0,0.0
100    WORLD                        WY,33.9451,-118.4029,14,1494,1,1822 0400 0416,37,M,O,212,400.0,IC,1,1.325,2020,3,0,16,0,0.0
7TH,34.0496,-118.2603,1,161,1,1414 0447 1212 1822,30,M,H,102,306.0,IC,1,0.53,2020,10,2,28,2,0.0
900 W  76TH                         ST,33.9727,-118.285,12,1256,2,2000 1243 1813 0913 0416 0417,32,F,H,501,400.0,IC,1,40.545,2020,11,6,1,6,0.0
200 W  50TH                         ST,33.9974,-118.2761,13,1361,2,2000 0444 1813,26,F,B,502,400.0,AO,1,55.65,2020,3,4,26,3,3.2188758248682006
5000    ALHAMA                       DR,34.1596,-118.5936,21,2187,1,344,64,M,W,101,0.0,IC,0,37.1,2020,2,1,17,0,3.2188758248682006
LANKERSHIM                   BL,34.17,-118.3777,15,1542,2,2000 0447 0913 1814,42,F,H,101,500.0,AO,1,62.01,2020,10,4,2,4,0.0
400 E  5TH                          ST,34.0453,-118.2443,1,147,1,0418 1402 0907 2004 0305 1822 0448 0515 0542,19,F,H,506,109.0,AO,1,42.4,2021,1,4,31,3,3.2188758248682006
500 W  104TH                        ST,33.9424,-118.2826,18,1841,1,,0,,,104,0.0,IC,0,37.1,2020,4,4,24,4,0.0
98TH                         ST,33.9473,-118.2652,18,1823,2,0913 2004 2000,25,F,H,102,400.0,IC,1,42.93,2020,4,0,20,0,0.0
3RD                          ST,34.0691,-118.2905,20,2019,1,1822 1309 1310 2002,0,M,H,101,307.0,AA,1,5.3,2020,9,1,29,1,0.0
19700    RINALDI                      ST,34.2748,-118.5621,17,1701,2,1822 0416,34,M,H,717,400.0,IC,1,46.375,2020,2,6,23,6,0.0
10300 N  SEPULVEDA                    BL,34.2583,-118.4675,19,1951,2,1300 2000 0416 1813,59,F,H,108,400.0,AO,1,6.625,2020,9,2,2,2,0.0
15300    RAYMER                       ST,34.2142,-118.4661,9,901,1,,0,,,108,0.0,IC,0,18.55,2020,3,4,13,4,0.0
O                            ST,33.7926,-118.2482,5,519,1,0329 0344 0385 1300 1278,44,M,H,101,0.0,IC,0,60.95,2020,10,1,18,6,3.8918202981106265
6300    VARIEL                       AV,34.1847,-118.5928,21,2158,1,0945 0325 0334 1822,35,M,X,243,200.0,IC,0,45.262,2020,5,2,20,2,0.0
5900    BUDLONG                      AV,33.9867,-118.2959,12,1239,1,0344 0319 1822 1309,37,F,H,704,0.0,AO,0,27.295,2020,6,4,12,4,0.0
800 E  51ST                         ST,33.9966,-118.2612,13,1363,2,1609 0329,40,M,H,101,0.0,IC,0,50.7475,2020,10,1,6,1,0.0
SLAUSON                      AV,33.9891,-118.3002,12,1235,1,0416 1822 2049 2051 0342 0910 0853,21,M,H,801,400.0,IC,1,37.629999999999995,2020,12,2,23,2,0.0
1200 W  7TH                          ST,34.0515,-118.2658,2,269,2,0930 0929 0922,32,F,B,502,0.0,IC,3,19.4775,2020,8,3,28,6,7.273092595999522
1000 W  84TH                         ST,33.9627,-118.2923,12,1265,1,1402 0416 1820 0913,73,M,B,501,308.0,IC,1,17.0925,2020,9,5,26,5,0.0
VERMONT,33.9655,-118.2918,12,1265,1,,0,,,101,0.0,IC,0,10.6,2020,5,4,24,4,5.820082930352362
1800 W  SLAUSON                      AV,33.9891,-118.3097,12,1233,1,,0,,,108,0.0,IC,0,43.5925,2020,11,4,6,4,0.0
3400 W  RIVERSIDE                    DR,34.1161,-118.271,11,1122,1,,0,,,108,0.0,AO,0,23.85,2020,11,4,13,4,0.0
600 W  42ND                         PL,34.0062,-118.2857,3,398,2,1822 0329 1307,50,F,H,122,0.0,IC,0,2.65,2020,9,6,27,6,0.0
5800    CAMERFORD                    AV,34.0844,-118.3244,6,676,2,2000 0444,26,F,H,501,400.0,AO,1,3.975,2020,1,1,14,1,0.0
5400 W  WASHINGTON                   BL,34.039,-118.3606,7,783,1,1300 1402 1606,25,M,B,101,0.0,IC,0,2.915,2020,9,3,17,3,0.0
3300 S  FIGUEROA                     ST,34.0268,-118.2808,3,328,1,1251 0344,19,F,W,502,0.0,IC,0,48.495000000000005,2020,3,0,9,0,0.0
100 S  AVENUE 60,34.111,-118.1888,11,1139,1,1300 0329,39,F,W,101,0.0,IC,0,55.65,2020,10,4,12,0,4.574710978503383
500 W  7TH                          ST,33.7365,-118.2923,5,565,2,0913 0444 0448 0602,43,F,H,108,400.0,AA,1,50.7475,2020,3,4,20,4,0.0
5800 W  3RD                          ST,34.0692,-118.3473,7,734,2,1822 0329,49,M,O,203,0.0,IC,0,35.245000000000005,2020,10,2,13,1,3.2188758248682006
600 S  GAFFEY                       ST,33.7383,-118.2923,5,557,2,329,0,X,X,210,0.0,IC,0,48.495000000000005,2020,10,5,31,5,0.0
12300    SAN FERNANDO                 RD,34.2962,-118.4554,19,1924,2,,60,F,W,501,0.0,IC,3,29.945,2021,5,4,31,6,9.030376034755907
1500 W  46TH                         ST,34.0019,-118.3034,12,1204,2,2000 1823 0913 0444 0429,28,F,H,101,400.0,IC,1,56.709999999999994,2020,6,4,26,4,0.0
4500    CEDROS                       AV,34.1535,-118.4531,9,974,1,1300 0344 0354 1202 1606 1420,78,F,W,707,0.0,IC,0,50.35,2020,10,2,20,1,3.2188758248682006
7900    BRIMFIELD                    AV,34.2147,-118.4576,19,1994,2,2038 1814,43,F,B,501,0.0,AO,2,45.05,2020,1,2,28,1,3.2188758248682006
8300 S  VERMONT                      AV,33.9636,-118.2914,12,1267,1,,0,,,101,0.0,IC,0,53.0,2020,5,0,3,6,3.2188758248682006
4500    VERDUGO                      RD,34.1321,-118.2331,11,1112,1,,0,,,101,0.0,IC,0,60.95,2020,6,5,12,4,3.2188758248682006
HUBBARD                      ST,34.3075,-118.4303,19,1918,1,1822 0355 0432 0337 0411,28,M,H,102,223.0,IC,0,59.49250000000001,2020,5,6,23,5,3.2188758248682006
10100    GISH                         AV,34.2516,-118.2769,16,1659,2,0913 2038,59,F,W,501,0.0,AA,2,3.4450000000000003,2020,8,6,23,6,0.0
6700    GLORIA                       AV,34.1922,-118.4793,10,1039,1,,0,,,101,0.0,IC,0,58.3,2020,11,2,10,1,3.2188758248682006
8200    SUNLAND                      BL,34.2195,-118.3687,16,1689,2,0416 1822 1237,33,M,W,252,400.0,AA,1,31.8,2020,1,4,3,4,0.0
SAN FERNANDO                 RD,34.2666,-118.4226,16,1622,1,416,42,M,H,102,400.0,IC,0,19.08,2020,8,3,6,3,0.0
500    WALL                         ST,34.044,-118.2467,1,156,2,0361 0913 0416,74,F,W,502,400.0,IC,1,37.4975,2020,7,3,23,3,0.0
1800 N  FULLER                       AV,34.1034,-118.349,6,622,2,1912 1822,57,M,O,502,0.0,IC,2,53.265,2020,7,4,6,0,4.574710978503383
11600    WILSHIRE                     BL,34.0508,-118.4592,8,842,1,0325 0344 1822 2028 1420,0,X,X,203,0.0,IC,0,7.95,2020,12,2,23,2,0.0
2400    SAN MARCO                    DR,34.1145,-118.3312,6,615,1,0334 1402 1212 1822,0,M,X,501,109.0,AA,2,8.8775,2020,7,2,8,2,0.0
5700    ALLOTT                       AV,34.174,-118.4279,9,948,1,,0,,,101,0.0,IC,0,24.247500000000002,2020,1,1,13,0,3.2188758248682006
1800    MANNING                      AV,34.0521,-118.4308,8,836,2,2000 0400 0446 1814 0319,55,F,B,501,400.0,AO,1,24.5125,2020,12,1,29,1,0.0
13000    BLOOMFIELD                   ST,34.1493,-118.416,15,1581,1,,0,,,101,0.0,IC,0,62.4075,2020,5,1,15,4,4.574710978503383
1600    VINE                         ST,34.0998,-118.3267,6,647,1,0344 1822 1501,37,F,W,502,0.0,IC,0,15.9,2020,12,5,12,5,0.0
15700    ROSCOE                       BL,34.2249,-118.4792,17,1799,1,0344 1402 2004 1300 1601 1602,0,M,O,203,0.0,AO,0,42.4,2020,10,0,19,0,0.0
8800    MEMORY PARK                  AV,34.23,-118.4644,19,1982,2,2000,37,F,H,502,0.0,AA,1,3.71,2020,11,6,8,6,0.0
5600 S  WESTERN                      AV,33.991,-118.3089,12,1213,2,2000 1814 0448 1202 0913 2004,64,F,W,505,400.0,AO,1,56.44499999999999,2020,10,3,15,3,0.0
1300    BROAD                        AV,33.7889,-118.2615,5,517,1,0329 1300 1202,61,M,W,122,0.0,AA,0,37.1,2020,5,3,21,3,0.0
100 N  MARTEL                       AV,34.0736,-118.3511,7,725,1,1822 0314,70,M,W,501,0.0,IC,0,55.65,2020,9,0,11,4,4.290459441148391
8900    ETON                         AV,34.2319,-118.5951,21,2106,1,1609 1607 0339 0351 0329 0216,50,M,W,203,0.0,IC,0,11.0505,2020,10,5,3,5,0.0
9600 S  SAN PEDRO                    ST,33.9492,-118.2695,18,1823,2,0100 0930 0929 0922,33,M,B,501,0.0,IC,3,5.3,2020,6,0,24,4,6.985641817639208
6400    FOOTHILL                     BL,34.2519,-118.2713,16,1659,1,0344 1202,66,M,W,221,0.0,IC,0,19.2655,2021,2,2,22,1,7.337587743538596
JAMES M WOOD,34.0559,-118.302,20,2044,1,1307 1822,34,F,B,101,0.0,IC,0,48.495000000000005,2020,6,0,8,0,0.0
900    WALL                         ST,34.0387,-118.2519,13,1303,1,344,35,F,H,203,0.0,IC,0,45.845,2020,6,6,14,6,0.0
